iso_code,first_letter,date,indicator,value,indicator_name
Cape Verde,C,07-Dec-20,Daily Tests,363,Daily Tests
Chad,C,18-May-22,Daily Tests,97,Daily Tests
Comoros,C,18-May-22,Daily Tests,1306,Daily Tests
Cote d'Ivoire,C,18-May-22,Daily Tests,613,Daily Tests
D.R.C,D,16-Aug-21,Daily Tests,1793,Daily Tests
Djibouti,D,18-May-22,Daily Tests,96,Daily Tests
Egypt,E,25-Apr-22,Daily Tests,194420,Daily Tests
Eq. Guinea,E,02-May-22,Daily Tests,249,Daily Tests
Ethiopia,E,18-May-22,Daily Tests,3803,Daily Tests
Gabon,G,09-May-22,Daily Tests,90,Daily Tests
Gambia,G,21-Mar-22,Daily Tests,68,Daily Tests
Ghana,G,18-May-22,Daily Tests,465,Daily Tests
Guinea,G,09-May-22,Daily Tests,385,Daily Tests
Guinea-Bissau,G,18-May-22,Daily Tests,147,Daily Tests
Kenya,K,18-May-22,Daily Tests,2432,Daily Tests
Lesotho,L,18-May-22,Daily Tests,292,Daily Tests
Libya,L,09-Nov-20,Daily Tests,3659,Daily Tests
Madagascar,M,02-May-22,Daily Tests,446,Daily Tests
Malawi,M,18-May-22,Daily Tests,344,Daily Tests
Mali,M,18-May-22,Daily Tests,658,Daily Tests
Mauritania,M,18-Apr-22,Daily Tests,403,Daily Tests
Morocco,M,18-May-22,Daily Tests,6142,Daily Tests
Mozambique,M,18-May-22,Daily Tests,504,Daily Tests
Namibia,N,18-May-22,Daily Tests,988,Daily Tests
Niger,N,09-May-22,Daily Tests,213,Daily Tests
Nigeria,N,02-May-22,Daily Tests,6401,Daily Tests
Rwanda,R,18-May-22,Daily Tests,5821,Daily Tests
Sao Tome & P.,S,09-May-22,Daily Tests,55,Daily Tests
Senegal,S,02-May-22,Daily Tests,762,Daily Tests
Sierra Leone,S,18-May-22,Daily Tests,648,Daily Tests
South Africa,S,18-May-22,Daily Tests,28284,Daily Tests
South Sudan,S,18-May-22,Daily Tests,564,Daily Tests
Swaziland,S,18-May-22,Daily Tests,404,Daily Tests
Tanzania,T,14-Feb-22,Daily Tests,1004,Daily Tests
Togo,T,18-May-22,Daily Tests,349,Daily Tests
Tunisia,T,09-May-22,Daily Tests,1350,Daily Tests
Uganda,U,18-May-22,Daily Tests,2279,Daily Tests
Zambia,Z,16-May-22,Daily Tests,2029,Daily Tests
Zimbabwe,Z,18-May-22,Daily Tests,2414,Daily Tests
Algeria,A,01-May-22,Daily Vaccinations,204830,Daily Vaccinations
Angola,A,26-Apr-22,Daily Vaccinations,11288,Daily Vaccinations
Benin,B,08-May-22,Daily Vaccinations,0,Daily Vaccinations
Botswana,B,08-May-22,Daily Vaccinations,5,Daily Vaccinations
Burkina Faso,B,08-May-22,Daily Vaccinations,0,Daily Vaccinations
Burundi,B,08-May-22,Daily Vaccinations,27,Daily Vaccinations
C.A.R,C,01-May-22,Daily Vaccinations,221,Daily Vaccinations
Cameroon,C,26-Apr-22,Daily Vaccinations,395,Daily Vaccinations
Cape Verde,C,15-May-22,Daily Vaccinations,223,Daily Vaccinations
Chad,C,26-Apr-22,Daily Vaccinations,3295,Daily Vaccinations
Comoros,C,26-Apr-22,Daily Vaccinations,67,Daily Vaccinations
Congo,C,15-May-22,Daily Vaccinations,216,Daily Vaccinations
Cote d'Ivoire,C,08-May-22,Daily Vaccinations,33813,Daily Vaccinations
D.R.C,D,06-Apr-22,Daily Vaccinations,825,Daily Vaccinations
Djibouti,D,15-May-22,Daily Vaccinations,572,Daily Vaccinations
Egypt,E,14-May-22,Daily Vaccinations,73060,Daily Vaccinations
Eq. Guinea,E,02-May-22,Daily Vaccinations,202,Daily Vaccinations
Ethiopia,E,01-May-22,Daily Vaccinations,291966,Daily Vaccinations
Gabon,G,01-May-22,Daily Vaccinations,57,Daily Vaccinations
Gambia,G,15-May-22,Daily Vaccinations,5764,Daily Vaccinations
Ghana,G,15-May-22,Daily Vaccinations,260621,Daily Vaccinations
Guinea,G,01-May-22,Daily Vaccinations,1262,Daily Vaccinations
Guinea-Bissau,G,24-Apr-22,Daily Vaccinations,8,Daily Vaccinations
Kenya,K,15-May-22,Daily Vaccinations,9281,Daily Vaccinations
Lesotho,L,26-Apr-22,Daily Vaccinations,811,Daily Vaccinations
Liberia,L,26-Apr-22,Daily Vaccinations,22025,Daily Vaccinations
Libya,L,12-May-22,Daily Vaccinations,173,Daily Vaccinations
Madagascar,M,15-May-22,Daily Vaccinations,0,Daily Vaccinations
Malawi,M,15-May-22,Daily Vaccinations,5885,Daily Vaccinations
Mali,M,08-May-22,Daily Vaccinations,0,Daily Vaccinations
Mauritania,M,15-May-22,Daily Vaccinations,13636,Daily Vaccinations
